2024-08-13 10:13:12 - MyLogger - DEBUG - gRPC Server started on port 50051
2024-08-13 10:14:25 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 10:14:25 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 10:14:42 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 10:14:42 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 10:28:49 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 10:28:49 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 12:41:41 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 12:41:41 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 12:41:57 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 12:41:57 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 12:50:50 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 12:50:50 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 500 40
2024-08-13 12:54:03 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:54:03 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 12:54:15 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:54:15 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 12:55:39 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:55:39 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 12:55:50 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:55:50 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 12:56:26 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 12:56:26 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 400 27
2024-08-13 12:56:33 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:56:33 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 12:56:42 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:56:42 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 12:56:47 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 12:56:47 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 400 27
2024-08-13 12:57:00 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 192.168.50.76:3000
2024-08-13 12:57:00 - urllib3.connectionpool - DEBUG - http://192.168.50.76:3000 "POST /users HTTP/1.1" 400 27
2024-08-13 12:57:14 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:57:14 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 12:57:23 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:57:23 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
2024-08-13 12:57:51 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:57:51 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/begin HTTP/1.1" 200 1477
2024-08-13 12:58:01 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): de.yunpoc.edu.tw:3000
2024-08-13 12:58:01 - urllib3.connectionpool - DEBUG - http://de.yunpoc.edu.tw:3000 "POST /fido2/register/complete HTTP/1.1" 500 64
